10:05:27 | INFO     | test_phase1.py:28 | Test Logger: Dòng này phải có màu xanh lá.
10:05:27 | INFO     | test_phase1.py:33 | Đang gọi Ollama (Qwen2.5)...
10:05:27 | ERROR    | test_phase1.py:41 | ❌ LLM Lỗi: module 'src.model.llm' has no attribute 'invoke'
10:05:27 | INFO     | test_phase1.py:45 | Đang test Tavily Search...
10:05:29 | INFO     | test_phase1.py:49 | Kết quả tìm kiếm (Snippet): {'query': 'LangGraph là gì?', 'follow_up_questions': None, 'answer': None, 'images': [], 'results': ...
10:05:29 | INFO     | test_phase1.py:56 | Đang test ghi file report...
10:05:29 | ERROR    | test_phase1.py:72 | ❌ File Tool Crash: 'function' object has no attribute 'invoke'
10:06:34 | INFO     | test_phase1.py:28 | Test Logger: Dòng này phải có màu xanh lá.
10:06:34 | INFO     | test_phase1.py:33 | Đang gọi Ollama (Qwen2.5)...
10:06:34 | ERROR    | test_phase1.py:41 | ❌ LLM Lỗi: module 'src.model.llm' has no attribute 'invoke'
10:06:34 | INFO     | test_phase1.py:45 | Đang test Tavily Search...
10:06:35 | INFO     | test_phase1.py:49 | Kết quả tìm kiếm (Snippet): {'query': 'LangGraph là gì?', 'response_time': 0.82, 'follow_up_questions': None, 'answer': None, 'i...
10:06:35 | INFO     | test_phase1.py:56 | Đang test ghi file report...
10:06:35 | ERROR    | test_phase1.py:72 | ❌ File Tool Crash: 'function' object has no attribute 'invoke'
10:08:24 | INFO     | test_phase1.py:28 | Test Logger: Dòng này phải có màu xanh lá.
10:08:24 | INFO     | test_phase1.py:33 | Đang gọi Ollama (Qwen2.5)...
10:08:24 | ERROR    | test_phase1.py:41 | ❌ LLM Lỗi: module 'src.model.llm' has no attribute 'invoke'
10:08:24 | INFO     | test_phase1.py:45 | Đang test Tavily Search...
10:08:25 | INFO     | test_phase1.py:49 | Kết quả tìm kiếm (Snippet): {'query': 'LangGraph là gì?', 'response_time': 0.82, 'follow_up_questions': None, 'answer': None, 'i...
10:08:25 | INFO     | test_phase1.py:56 | Đang test ghi file report...
10:08:25 | ERROR    | test_phase1.py:72 | ❌ File Tool Crash: 'function' object has no attribute 'invoke'
10:09:30 | INFO     | test_phase1.py:28 | Test Logger: Dòng này phải có màu xanh lá.
10:09:30 | INFO     | test_phase1.py:33 | Đang gọi Ollama (Qwen2.5)...
10:09:30 | ERROR    | test_phase1.py:41 | ❌ LLM Lỗi: module 'src.model.llm' has no attribute 'invoke'
10:09:30 | INFO     | test_phase1.py:45 | Đang test Tavily Search...
10:09:31 | INFO     | test_phase1.py:49 | Kết quả tìm kiếm (Snippet): {'query': 'LangGraph là gì?', 'response_time': 0.82, 'follow_up_questions': None, 'answer': None, 'i...
10:09:31 | INFO     | test_phase1.py:56 | Đang test ghi file report...
10:09:31 | INFO     | file_tools.py:22 | Đang xử lý lưu file: test_phase_1.md...
10:09:31 | INFO     | file_tools.py:42 | ✅ Đã lưu file chuẩn đẹp tại: /home/muggle/hlt/py/my-project/omni-research/reports/test_phase_1.md
10:09:31 | INFO     | test_phase1.py:63 | Kết quả ghi file: Đã lưu báo cáo thành công: /home/muggle/hlt/py/my-project/omni-research/reports/test_phase_1.md
10:10:46 | INFO     | test_phase1.py:28 | Test Logger: Dòng này phải có màu xanh lá.
10:10:46 | INFO     | test_phase1.py:33 | Đang gọi Ollama (Qwen2.5)...
10:10:48 | INFO     | test_phase1.py:38 | Ollama trả lời: OK, tôi đã nghe thấy bạn! Tôi có thể giúp gì cho bạn tiếp theo?
10:10:48 | INFO     | test_phase1.py:45 | Đang test Tavily Search...
10:10:49 | INFO     | test_phase1.py:49 | Kết quả tìm kiếm (Snippet): {'query': 'LangGraph là gì?', 'response_time': 0.82, 'follow_up_questions': None, 'answer': None, 'i...
10:10:49 | INFO     | test_phase1.py:56 | Đang test ghi file report...
10:10:49 | INFO     | file_tools.py:22 | Đang xử lý lưu file: test_phase_1.md...
10:10:49 | INFO     | file_tools.py:42 | ✅ Đã lưu file chuẩn đẹp tại: /home/muggle/hlt/py/my-project/omni-research/reports/test_phase_1.md
10:10:49 | INFO     | test_phase1.py:63 | Kết quả ghi file: Đã lưu báo cáo thành công: /home/muggle/hlt/py/my-project/omni-research/reports/test_phase_1.md
